Group,LDH
ENDO 0,0.155
ENDO 0,0.149
ENDO 0,0.149
ENDO 0,0.157
ENDO 0,0.152
ENDO 0,0.153
ENDO 0,0.154
ENDO 0,0.159
ENDO 0,0.163
ENDO 0,0.159
ENDO 0,0.161
ENDO 0,0.157
ENDO 0,0.159
ENDO 0,0.166
ENDO 0,0.217
ENDO 0,0.174
ENDO 0,0.154
ENDO 0,0.149
ENDO 0,0.147
ENDO 0,0.153
ENDO 0,0.149
ENDO 0,0.153
ENDO 0,0.152
ENDO 0,0.159
ENDO 0,0.151
ENDO 0,0.156
ENDO 0,0.152
ENDO 0,0.153
ENDO 0,0.165
ENDO 0,0.16
ENDO 0,0.165
ENDO 0,0.157
ENDO 0,0.16
ENDO 0,0.156
ENDO 0,0.157
ENDO 0,0.156
ENDO 0,0.157
ENDO 0,0.157
ENDO 0,0.159
ENDO 0,0.158
ENDO 0,0.153
ENDO 0,0.15
ENDO 0,0.137
ENDO 0,0.151
ENDO 0,0.153
ENDO 0,0.153
ENDO 0,0.159
ENDO 0,0.158
ENDO 0.002,0.177
ENDO 0.002,0.318
ENDO 0.002,0.292
ENDO 0.002,0.164
ENDO 0.002,0.164
ENDO 0.002,0.16
ENDO 0.002,0.172
ENDO 0.002,0.185
ENDO 0.002,0.168
ENDO 0.002,0.165
ENDO 0.002,0.167
ENDO 0.002,0.167
ENDO 0.002,0.165
ENDO 0.002,0.172
ENDO 0.002,0.18
ENDO 0.002,0.177
ENDO 0.002,0.172
ENDO 0.002,0.159
ENDO 0.002,0.156
ENDO 0.002,0.168
ENDO 0.002,0.163
ENDO 0.002,0.177
ENDO 0.002,0.177
ENDO 0.002,0.18
ENDO 0.002,0.168
ENDO 0.002,0.156
ENDO 0.002,0.161
ENDO 0.002,0.165
ENDO 0.002,0.171
ENDO 0.002,0.157
ENDO 0.002,0.16
ENDO 0.002,0.171
ENDO 0.002,0.172
ENDO 0.002,0.159
ENDO 0.002,0.156
ENDO 0.002,0.159
ENDO 0.002,0.158
ENDO 0.002,0.164
ENDO 0.002,0.173
ENDO 0.002,0.172
ENDO 0.002,0.166
ENDO 0.002,0.164
ENDO 0.002,0.163
ENDO 0.002,0.16
ENDO 0.002,0.152
ENDO 0.002,0.151
ENDO 0.002,0.16
ENDO 0.002,0.174
ENDO 1,0.214
ENDO 1,0.188
ENDO 1,0.332
ENDO 1,0.231
ENDO 1,0.204
ENDO 1,0.189
ENDO 1,0.187
ENDO 1,0.203
ENDO 1,0.19
ENDO 1,0.197
ENDO 1,0.197
ENDO 1,0.2
ENDO 1,0.188
ENDO 1,0.181
ENDO 1,0.183
ENDO 1,0.214
ENDO 1,0.225
ENDO 1,0.19
ENDO 1,0.205
ENDO 1,0.201
ENDO 1,0.193
ENDO 1,0.201
ENDO 1,0.246
ENDO 1,0.231
ENDO 1,0.192
ENDO 1,0.185
ENDO 1,0.185
ENDO 1,0.188
ENDO 1,0.194
ENDO 1,0.184
ENDO 1,0.185
ENDO 1,0.197
ENDO 1,0.197
ENDO 1,0.192
ENDO 1,0.192
ENDO 1,0.188
ENDO 1,0.187
ENDO 1,0.189
ENDO 1,0.197
ENDO 1,0.193
ENDO 1,0.196
ENDO 1,0.191
ENDO 1,0.19
ENDO 1,0.195
ENDO 1,0.202
ENDO 1,0.199
ENDO 1,0.2
ENDO 1,0.196
ENDO 20,0.236
ENDO 20,0.302
ENDO 20,0.323
ENDO 20,0.329
ENDO 20,0.349
ENDO 20,0.303
ENDO 20,0.293
ENDO 20,0.208
ENDO 20,0.207
ENDO 20,0.206
ENDO 20,0.209
ENDO 20,0.208
ENDO 20,0.219
ENDO 20,0.214
ENDO 20,0.227
ENDO 20,0.231
ENDO 20,0.213
ENDO 20,0.203
ENDO 20,0.213
ENDO 20,0.224
ENDO 20,0.221
ENDO 20,0.238
ENDO 20,0.242
ENDO 20,0.239
ENDO 20,0.209
ENDO 20,0.193
ENDO 20,0.197
ENDO 20,0.215
ENDO 20,0.194
ENDO 20,0.183
ENDO 20,0.197
ENDO 20,0.217
ENDO 20,0.197
ENDO 20,0.188
ENDO 20,0.196
ENDO 20,0.191
ENDO 20,0.185
ENDO 20,0.192
ENDO 20,0.191
ENDO 20,0.195
ENDO 20,0.197
ENDO 20,0.2
ENDO 20,0.196
ENDO 20,0.201
ENDO 20,0.193
ENDO 20,0.198
ENDO 20,0.206
ENDO 20,0.202
MICRO 0,0.191
MICRO 0,0.182
MICRO 0,0.176
MICRO 0,0.176
MICRO 0,0.18
MICRO 0,0.177
MICRO 0,0.184
MICRO 0,0.179
MICRO 0,0.177
MICRO 0,0.173
MICRO 0,0.173
MICRO 0,0.166
MICRO 0,0.168
MICRO 0,0.171
MICRO 0,0.173
MICRO 0,0.178
MICRO 0,0.186
MICRO 0,0.168
MICRO 0,0.18
MICRO 0,0.188
MICRO 0,0.182
MICRO 0,0.188
MICRO 0,0.191
MICRO 0,0.183
MICRO 0,0.18
MICRO 0,0.174
MICRO 0,0.171
MICRO 0,0.172
MICRO 0,0.176
MICRO 0,0.171
MICRO 0,0.175
MICRO 0,0.176
MICRO 0,0.166
MICRO 0,0.163
MICRO 0,0.16
MICRO 0,0.167
MICRO 0,0.167
MICRO 0,0.165
MICRO 0,0.166
MICRO 0,0.171
MICRO 0,0.173
MICRO 0,0.177
MICRO 0,0.17
MICRO 0,0.173
MICRO 0,0.177
MICRO 0,0.172
MICRO 0,0.174
MICRO 0,0.177
MICRO 0.002,0.18
MICRO 0.002,0.17
MICRO 0.002,0.173
MICRO 0.002,0.176
MICRO 0.002,0.175
MICRO 0.002,0.174
MICRO 0.002,0.175
MICRO 0.002,0.181
MICRO 0.002,0.182
MICRO 0.002,0.175
MICRO 0.002,0.172
MICRO 0.002,0.178
MICRO 0.002,0.176
MICRO 0.002,0.175
MICRO 0.002,0.182
MICRO 0.002,0.185
MICRO 0.002,0.197
MICRO 0.002,0.188
MICRO 0.002,0.191
MICRO 0.002,0.192
MICRO 0.002,0.191
MICRO 0.002,0.181
MICRO 0.002,0.192
MICRO 0.002,0.194
MICRO 0.002,0.182
MICRO 0.002,0.18
MICRO 0.002,0.173
MICRO 0.002,0.173
MICRO 0.002,0.177
MICRO 0.002,0.177
MICRO 0.002,0.179
MICRO 0.002,0.186
MICRO 0.002,0.176
MICRO 0.002,0.17
MICRO 0.002,0.171
MICRO 0.002,0.17
MICRO 0.002,0.177
MICRO 0.002,0.173
MICRO 0.002,0.175
MICRO 0.002,0.182
MICRO 0.002,0.197
MICRO 0.002,0.19
MICRO 0.002,0.197
MICRO 0.002,0.197
MICRO 0.002,0.195
MICRO 0.002,0.201
MICRO 0.002,0.194
MICRO 0.002,0.196
MICRO 1,0.194
MICRO 1,0.179
MICRO 1,0.185
MICRO 1,0.188
MICRO 1,0.185
MICRO 1,0.189
MICRO 1,0.191
MICRO 1,0.194
MICRO 1,0.186
MICRO 1,0.187
MICRO 1,0.181
MICRO 1,0.184
MICRO 1,0.186
MICRO 1,0.173
MICRO 1,0.183
MICRO 1,0.185
MICRO 1,0.196
MICRO 1,0.198
MICRO 1,0.195
MICRO 1,0.191
MICRO 1,0.193
MICRO 1,0.193
MICRO 1,0.205
MICRO 1,0.2
MICRO 1,0.185
MICRO 1,0.165
MICRO 1,0.166
MICRO 1,0.166
MICRO 1,0.175
MICRO 1,0.17
MICRO 1,0.18
MICRO 1,0.185
MICRO 1,0.177
MICRO 1,0.17
MICRO 1,0.174
MICRO 1,0.176
MICRO 1,0.173
MICRO 1,0.174
MICRO 1,0.173
MICRO 1,0.175
MICRO 1,0.192
MICRO 1,0.18
MICRO 1,0.182
MICRO 1,0.178
MICRO 1,0.183
MICRO 1,0.189
MICRO 1,0.189
MICRO 1,0.202
MICRO 20,0.216
MICRO 20,0.194
MICRO 20,0.192
MICRO 20,0.19
MICRO 20,0.192
MICRO 20,0.192
MICRO 20,0.195
MICRO 20,0.208
MICRO 20,0.194
MICRO 20,0.188
MICRO 20,0.186
MICRO 20,0.188
MICRO 20,0.192
MICRO 20,0.189
MICRO 20,0.19
MICRO 20,0.199
MICRO 20,0.198
MICRO 20,0.201
MICRO 20,0.205
MICRO 20,0.207
MICRO 20,0.203
MICRO 20,0.202
MICRO 20,0.206
MICRO 20,0.221
MICRO 20,0.182
MICRO 20,0.174
MICRO 20,0.173
MICRO 20,0.175
MICRO 20,0.178
MICRO 20,0.178
MICRO 20,0.179
MICRO 20,0.186
MICRO 20,0.176
MICRO 20,0.173
MICRO 20,0.172
MICRO 20,0.176
MICRO 20,0.176
MICRO 20,0.171
MICRO 20,0.175
MICRO 20,0.183
MICRO 20,0.183
MICRO 20,0.186
MICRO 20,0.177
MICRO 20,0.178
MICRO 20,0.176
MICRO 20,0.183
MICRO 20,0.182
MICRO 20,0.191
HAPI 0,0.434
HAPI 0,0.492
HAPI 0,0.481
HAPI 0,0.457
HAPI 0,0.443
HAPI 0,0.474
HAPI 0,0.472
HAPI 0,0.445
HAPI 0,0.992
HAPI 0,1.059
HAPI 0,0.953
HAPI 0,0.995
HAPI 0,1.107
HAPI 0,0.973
HAPI 0,0.882
HAPI 0,0.911
HAPI 0,1.166
HAPI 0,1.06
HAPI 0,0.984
HAPI 0,1.112
HAPI 0,1.082
HAPI 0,1.125
HAPI 0,1.064
HAPI 0,1.092
HAPI 0,0.438
HAPI 0,0.48
HAPI 0,0.497
HAPI 0,0.453
HAPI 0,0.487
HAPI 0,0.516
HAPI 0,0.534
HAPI 0,0.473
HAPI 0,1.138
HAPI 0,1.039
HAPI 0,1.058
HAPI 0,0.995
HAPI 0,1.162
HAPI 0,1.194
HAPI 0,1.016
HAPI 0,0.854
HAPI 0,1.056
HAPI 0,1.051
HAPI 0,1.044
HAPI 0,1.203
HAPI 0,1.17
HAPI 0,1.156
HAPI 0,0.971
HAPI 0,0.967
HAPI 0.002,0.398
HAPI 0.002,0.566
HAPI 0.002,0.528
HAPI 0.002,0.501
HAPI 0.002,0.523
HAPI 0.002,0.576
HAPI 0.002,0.675
HAPI 0.002,0.476
HAPI 0.002,0.903
HAPI 0.002,0.891
HAPI 0.002,0.783
HAPI 0.002,0.85
HAPI 0.002,0.955
HAPI 0.002,1.048
HAPI 0.002,0.868
HAPI 0.002,0.876
HAPI 0.002,0.959
HAPI 0.002,0.832
HAPI 0.002,0.81
HAPI 0.002,0.926
HAPI 0.002,1.175
HAPI 0.002,0.968
HAPI 0.002,1.37
HAPI 0.002,0.843
HAPI 0.002,0.419
HAPI 0.002,0.45
HAPI 0.002,0.441
HAPI 0.002,0.448
HAPI 0.002,0.459
HAPI 0.002,0.453
HAPI 0.002,0.453
HAPI 0.002,0.459
HAPI 0.002,0.884
HAPI 0.002,0.918
HAPI 0.002,0.877
HAPI 0.002,0.891
HAPI 0.002,0.871
HAPI 0.002,0.926
HAPI 0.002,0.901
HAPI 0.002,0.86
HAPI 0.002,0.962
HAPI 0.002,0.913
HAPI 0.002,0.899
HAPI 0.002,0.91
HAPI 0.002,0.887
HAPI 0.002,0.882
HAPI 0.002,1.005
HAPI 0.002,0.902
HAPI 1,0.419
HAPI 1,0.45
HAPI 1,0.441
HAPI 1,0.448
HAPI 1,0.459
HAPI 1,0.453
HAPI 1,0.453
HAPI 1,0.459
HAPI 1,0.884
HAPI 1,0.918
HAPI 1,0.877
HAPI 1,0.891
HAPI 1,0.871
HAPI 1,0.926
HAPI 1,0.901
HAPI 1,0.86
HAPI 1,0.962
HAPI 1,0.913
HAPI 1,0.899
HAPI 1,0.91
HAPI 1,0.887
HAPI 1,0.882
HAPI 1,1.005
HAPI 1,0.902
HAPI 1,0.415
HAPI 1,0.479
HAPI 1,0.483
HAPI 1,0.493
HAPI 1,0.479
HAPI 1,0.477
HAPI 1,0.46
HAPI 1,0.472
HAPI 1,1.215
HAPI 1,1.323
HAPI 1,1.496
HAPI 1,1.204
HAPI 1,1.107
HAPI 1,1.176
HAPI 1,1.121
HAPI 1,0.908
HAPI 1,0.965
HAPI 1,1.809
HAPI 1,1.809
HAPI 1,1.721
HAPI 1,1.441
HAPI 1,1.748
HAPI 1,1.598
HAPI 1,1.709
HAPI 20,0.354
HAPI 20,0.384
HAPI 20,0.386
HAPI 20,0.399
HAPI 20,0.388
HAPI 20,0.393
HAPI 20,0.407
HAPI 20,0.418
HAPI 20,0.864
HAPI 20,0.844
HAPI 20,0.793
HAPI 20,0.816
HAPI 20,0.749
HAPI 20,0.865
HAPI 20,0.826
HAPI 20,0.768
HAPI 20,0.93
HAPI 20,1.433
HAPI 20,1.237
HAPI 20,1.221
HAPI 20,1.421
HAPI 20,1.313
HAPI 20,1.602
HAPI 20,1.521
HAPI 20,0.363
HAPI 20,0.384
HAPI 20,0.386
HAPI 20,0.37
HAPI 20,0.378
HAPI 20,0.365
HAPI 20,0.363
HAPI 20,0.362
HAPI 20,0.848
HAPI 20,0.865
HAPI 20,0.802
HAPI 20,0.786
HAPI 20,0.763
HAPI 20,0.745
HAPI 20,0.778
HAPI 20,0.724
HAPI 20,0.818
HAPI 20,0.856
HAPI 20,0.819
HAPI 20,0.864
HAPI 20,0.792
HAPI 20,0.803
HAPI 20,0.931
HAPI 20,0.816
MIXED.ENDO-MICRO 0,0.4
MIXED.ENDO-MICRO 0,0.448
MIXED.ENDO-MICRO 0,0.406
MIXED.ENDO-MICRO 0,0.407
MIXED.ENDO-MICRO 0,0.41
MIXED.ENDO-MICRO 0,0.441
MIXED.ENDO-MICRO 0,0.438
MIXED.ENDO-MICRO 0,0.409
MIXED.ENDO-MICRO 0,0.427
MIXED.ENDO-MICRO 0,0.358
MIXED.ENDO-MICRO 0,0.407
MIXED.ENDO-MICRO 0,0.396
MIXED.ENDO-MICRO 0,0.42
MIXED.ENDO-MICRO 0,0.484
MIXED.ENDO-MICRO 0,0.423
MIXED.ENDO-MICRO 0,0.41
MIXED.ENDO-MICRO 0,0.449
MIXED.ENDO-MICRO 0,0.394
MIXED.ENDO-MICRO 0,0.394
MIXED.ENDO-MICRO 0,0.39
MIXED.ENDO-MICRO 0,0.387
MIXED.ENDO-MICRO 0,0.396
MIXED.ENDO-MICRO 0,0.434
MIXED.ENDO-MICRO 0,0.4
MIXED.ENDO-MICRO 0,0.432
