Group,LDH
MIXED.ENDO-MICRO 0,0.385
MIXED.ENDO-MICRO 0,0.361
MIXED.ENDO-MICRO 0,0.348
MIXED.ENDO-MICRO 0,0.346
MIXED.ENDO-MICRO 0,0.348
MIXED.ENDO-MICRO 0,0.379
MIXED.ENDO-MICRO 0,0.395
MIXED.ENDO-MICRO 0,0.404
MIXED.ENDO-MICRO 0,0.345
MIXED.ENDO-MICRO 0,0.338
MIXED.ENDO-MICRO 0,0.431
MIXED.ENDO-MICRO 0,0.39
MIXED.ENDO-MICRO 0,0.407
MIXED.ENDO-MICRO 0,0.417
MIXED.ENDO-MICRO 0,0.411
MIXED.ENDO-MICRO 0,0.385
MIXED.ENDO-MICRO 0,0.325
MIXED.ENDO-MICRO 0,0.331
MIXED.ENDO-MICRO 0,0.348
MIXED.ENDO-MICRO 0,0.357
MIXED.ENDO-MICRO 0,0.355
MIXED.ENDO-MICRO 0,0.347
MIXED.ENDO-MICRO 0,0.89
MIXED.ENDO-MICRO 0.002,0.523
MIXED.ENDO-MICRO 0.002,0.564
MIXED.ENDO-MICRO 0.002,0.577
MIXED.ENDO-MICRO 0.002,0.449
MIXED.ENDO-MICRO 0.002,0.485
MIXED.ENDO-MICRO 0.002,0.537
MIXED.ENDO-MICRO 0.002,0.539
MIXED.ENDO-MICRO 0.002,0.475
MIXED.ENDO-MICRO 0.002,0.421
MIXED.ENDO-MICRO 0.002,0.442
MIXED.ENDO-MICRO 0.002,0.45
MIXED.ENDO-MICRO 0.002,0.415
MIXED.ENDO-MICRO 0.002,0.421
MIXED.ENDO-MICRO 0.002,0.519
MIXED.ENDO-MICRO 0.002,0.49
MIXED.ENDO-MICRO 0.002,0.424
MIXED.ENDO-MICRO 0.002,0.459
MIXED.ENDO-MICRO 0.002,0.487
MIXED.ENDO-MICRO 0.002,0.451
MIXED.ENDO-MICRO 0.002,0.458
MIXED.ENDO-MICRO 0.002,0.499
MIXED.ENDO-MICRO 0.002,0.509
MIXED.ENDO-MICRO 0.002,0.492
MIXED.ENDO-MICRO 0.002,0.53
MIXED.ENDO-MICRO 0.002,0.436
MIXED.ENDO-MICRO 0.002,0.381
MIXED.ENDO-MICRO 0.002,0.379
MIXED.ENDO-MICRO 0.002,0.463
MIXED.ENDO-MICRO 0.002,0.433
MIXED.ENDO-MICRO 0.002,0.403
MIXED.ENDO-MICRO 0.002,0.43
MIXED.ENDO-MICRO 0.002,0.423
MIXED.ENDO-MICRO 0.002,0.376
MIXED.ENDO-MICRO 0.002,0.413
MIXED.ENDO-MICRO 0.002,0.442
MIXED.ENDO-MICRO 0.002,0.444
MIXED.ENDO-MICRO 0.002,0.426
MIXED.ENDO-MICRO 0.002,0.422
MIXED.ENDO-MICRO 0.002,0.419
MIXED.ENDO-MICRO 0.002,0.458
MIXED.ENDO-MICRO 0.002,0.374
MIXED.ENDO-MICRO 0.002,0.409
MIXED.ENDO-MICRO 0.002,0.436
MIXED.ENDO-MICRO 0.002,0.419
MIXED.ENDO-MICRO 0.002,0.455
MIXED.ENDO-MICRO 0.002,0.441
MIXED.ENDO-MICRO 0.002,0.404
MIXED.ENDO-MICRO 0.002,0.493
MIXED.ENDO-MICRO 1,0.566
MIXED.ENDO-MICRO 1,0.519
MIXED.ENDO-MICRO 1,0.516
MIXED.ENDO-MICRO 1,0.541
MIXED.ENDO-MICRO 1,0.539
MIXED.ENDO-MICRO 1,0.519
MIXED.ENDO-MICRO 1,0.52
MIXED.ENDO-MICRO 1,0.553
MIXED.ENDO-MICRO 1,0.506
MIXED.ENDO-MICRO 1,0.513
MIXED.ENDO-MICRO 1,0.505
MIXED.ENDO-MICRO 1,0.511
MIXED.ENDO-MICRO 1,0.563
MIXED.ENDO-MICRO 1,0.557
MIXED.ENDO-MICRO 1,0.531
MIXED.ENDO-MICRO 1,0.582
MIXED.ENDO-MICRO 1,0.544
MIXED.ENDO-MICRO 1,0.491
MIXED.ENDO-MICRO 1,0.48
MIXED.ENDO-MICRO 1,0.513
MIXED.ENDO-MICRO 1,0.554
MIXED.ENDO-MICRO 1,0.521
MIXED.ENDO-MICRO 1,0.508
MIXED.ENDO-MICRO 1,0.528
MIXED.ENDO-MICRO 1,0.583
MIXED.ENDO-MICRO 1,0.496
MIXED.ENDO-MICRO 1,0.513
MIXED.ENDO-MICRO 1,0.537
MIXED.ENDO-MICRO 1,0.532
MIXED.ENDO-MICRO 1,0.568
MIXED.ENDO-MICRO 1,0.537
MIXED.ENDO-MICRO 1,0.554
MIXED.ENDO-MICRO 1,0.536
MIXED.ENDO-MICRO 1,0.476
MIXED.ENDO-MICRO 1,0.483
MIXED.ENDO-MICRO 1,0.503
MIXED.ENDO-MICRO 1,0.5
MIXED.ENDO-MICRO 1,0.49
MIXED.ENDO-MICRO 1,0.498
MIXED.ENDO-MICRO 1,0.491
MIXED.ENDO-MICRO 1,0.465
MIXED.ENDO-MICRO 1,0.765
MIXED.ENDO-MICRO 1,0.559
MIXED.ENDO-MICRO 1,0.591
MIXED.ENDO-MICRO 1,0.469
MIXED.ENDO-MICRO 1,0.545
MIXED.ENDO-MICRO 1,0.534
MIXED.ENDO-MICRO 1,0.476
MIXED.ENDO-MICRO 20,0.609
MIXED.ENDO-MICRO 20,0.497
MIXED.ENDO-MICRO 20,0.597
MIXED.ENDO-MICRO 20,0.506
MIXED.ENDO-MICRO 20,0.614
MIXED.ENDO-MICRO 20,0.626
MIXED.ENDO-MICRO 20,0.621
MIXED.ENDO-MICRO 20,0.644
MIXED.ENDO-MICRO 20,0.558
MIXED.ENDO-MICRO 20,0.557
MIXED.ENDO-MICRO 20,0.532
MIXED.ENDO-MICRO 20,0.521
MIXED.ENDO-MICRO 20,0.54
MIXED.ENDO-MICRO 20,0.548
MIXED.ENDO-MICRO 20,0.565
MIXED.ENDO-MICRO 20,0.655
MIXED.ENDO-MICRO 20,0.472
MIXED.ENDO-MICRO 20,0.536
MIXED.ENDO-MICRO 20,0.539
MIXED.ENDO-MICRO 20,0.565
MIXED.ENDO-MICRO 20,0.575
MIXED.ENDO-MICRO 20,0.621
MIXED.ENDO-MICRO 20,0.558
MIXED.ENDO-MICRO 20,0.577
MIXED.ENDO-MICRO 20,0.569
MIXED.ENDO-MICRO 20,0.533
MIXED.ENDO-MICRO 20,0.561
MIXED.ENDO-MICRO 20,0.54
MIXED.ENDO-MICRO 20,0.531
MIXED.ENDO-MICRO 20,0.504
MIXED.ENDO-MICRO 20,0.517
MIXED.ENDO-MICRO 20,0.618
MIXED.ENDO-MICRO 20,0.56
MIXED.ENDO-MICRO 20,0.517
MIXED.ENDO-MICRO 20,0.491
MIXED.ENDO-MICRO 20,0.514
MIXED.ENDO-MICRO 20,0.505
MIXED.ENDO-MICRO 20,0.516
MIXED.ENDO-MICRO 20,0.527
MIXED.ENDO-MICRO 20,0.615
MIXED.ENDO-MICRO 20,0.621
MIXED.ENDO-MICRO 20,0.521
MIXED.ENDO-MICRO 20,0.476
MIXED.ENDO-MICRO 20,0.5
MIXED.ENDO-MICRO 20,0.509
MIXED.ENDO-MICRO 20,0.479
MIXED.ENDO-MICRO 20,0.541
MIXED.ENDO-MICRO 20,0.676
MIXED.ENDO-HAPI 0,0.467
MIXED.ENDO-HAPI 0,0.495
MIXED.ENDO-HAPI 0,0.542
MIXED.ENDO-HAPI 0,0.544
MIXED.ENDO-HAPI 0,0.604
MIXED.ENDO-HAPI 0,0.576
MIXED.ENDO-HAPI 0,0.532
MIXED.ENDO-HAPI 0,0.528
MIXED.ENDO-HAPI 0,0.587
MIXED.ENDO-HAPI 0,0.694
MIXED.ENDO-HAPI 0,0.662
MIXED.ENDO-HAPI 0,0.642
MIXED.ENDO-HAPI 0,0.689
MIXED.ENDO-HAPI 0,0.706
MIXED.ENDO-HAPI 0,0.676
MIXED.ENDO-HAPI 0,0.701
MIXED.ENDO-HAPI 0,0.414
MIXED.ENDO-HAPI 0,0.675
MIXED.ENDO-HAPI 0,0.581
MIXED.ENDO-HAPI 0,0.577
MIXED.ENDO-HAPI 0,0.634
MIXED.ENDO-HAPI 0,0.594
MIXED.ENDO-HAPI 0,0.558
MIXED.ENDO-HAPI 0,0.705
MIXED.ENDO-HAPI 0,0.34
MIXED.ENDO-HAPI 0,0.41
MIXED.ENDO-HAPI 0,0.608
MIXED.ENDO-HAPI 0,0.534
MIXED.ENDO-HAPI 0,0.619
MIXED.ENDO-HAPI 0,0.69
MIXED.ENDO-HAPI 0,0.688
MIXED.ENDO-HAPI 0,0.651
MIXED.ENDO-HAPI 0,0.562
MIXED.ENDO-HAPI 0,0.52
MIXED.ENDO-HAPI 0,0.575
MIXED.ENDO-HAPI 0,0.587
MIXED.ENDO-HAPI 0,0.585
MIXED.ENDO-HAPI 0,0.639
MIXED.ENDO-HAPI 0,0.663
MIXED.ENDO-HAPI 0,0.641
MIXED.ENDO-HAPI 0,0.487
MIXED.ENDO-HAPI 0,0.59
MIXED.ENDO-HAPI 0,0.568
MIXED.ENDO-HAPI 0,0.692
MIXED.ENDO-HAPI 0,0.644
MIXED.ENDO-HAPI 0,0.722
MIXED.ENDO-HAPI 0,0.678
MIXED.ENDO-HAPI 0,0.672
MIXED.ENDO-HAPI 0.002,0.558
MIXED.ENDO-HAPI 0.002,0.626
MIXED.ENDO-HAPI 0.002,0.63
MIXED.ENDO-HAPI 0.002,0.768
MIXED.ENDO-HAPI 0.002,0.924
MIXED.ENDO-HAPI 0.002,0.805
MIXED.ENDO-HAPI 0.002,1.047
MIXED.ENDO-HAPI 0.002,1.171
MIXED.ENDO-HAPI 0.002,0.453
MIXED.ENDO-HAPI 0.002,0.526
MIXED.ENDO-HAPI 0.002,0.532
MIXED.ENDO-HAPI 0.002,0.671
MIXED.ENDO-HAPI 0.002,0.687
MIXED.ENDO-HAPI 0.002,0.613
MIXED.ENDO-HAPI 0.002,0.713
MIXED.ENDO-HAPI 0.002,0.584
MIXED.ENDO-HAPI 0.002,1.249
MIXED.ENDO-HAPI 0.002,0.786
MIXED.ENDO-HAPI 0.002,0.982
MIXED.ENDO-HAPI 0.002,0.843
MIXED.ENDO-HAPI 0.002,1.096
MIXED.ENDO-HAPI 0.002,0.936
MIXED.ENDO-HAPI 0.002,1.061
MIXED.ENDO-HAPI 0.002,0.638
MIXED.ENDO-HAPI 0.002,0.385
MIXED.ENDO-HAPI 0.002,0.601
MIXED.ENDO-HAPI 0.002,0.664
MIXED.ENDO-HAPI 0.002,0.673
MIXED.ENDO-HAPI 0.002,0.549
MIXED.ENDO-HAPI 0.002,0.591
MIXED.ENDO-HAPI 0.002,0.577
MIXED.ENDO-HAPI 0.002,0.69
MIXED.ENDO-HAPI 0.002,0.608
MIXED.ENDO-HAPI 0.002,0.673
MIXED.ENDO-HAPI 0.002,0.568
MIXED.ENDO-HAPI 0.002,0.611
MIXED.ENDO-HAPI 0.002,0.563
MIXED.ENDO-HAPI 0.002,0.549
MIXED.ENDO-HAPI 0.002,0.657
MIXED.ENDO-HAPI 0.002,0.619
MIXED.ENDO-HAPI 0.002,0.97
MIXED.ENDO-HAPI 0.002,0.672
MIXED.ENDO-HAPI 0.002,0.547
MIXED.ENDO-HAPI 0.002,0.629
MIXED.ENDO-HAPI 0.002,0.527
MIXED.ENDO-HAPI 0.002,0.631
MIXED.ENDO-HAPI 0.002,0.636
MIXED.ENDO-HAPI 0.002,0.572
MIXED.ENDO-HAPI 1,0.623
MIXED.ENDO-HAPI 1,0.681
MIXED.ENDO-HAPI 1,0.724
MIXED.ENDO-HAPI 1,0.669
MIXED.ENDO-HAPI 1,0.69
MIXED.ENDO-HAPI 1,0.683
MIXED.ENDO-HAPI 1,0.752
MIXED.ENDO-HAPI 1,0.637
MIXED.ENDO-HAPI 1,0.689
MIXED.ENDO-HAPI 1,0.802
MIXED.ENDO-HAPI 1,0.681
MIXED.ENDO-HAPI 1,0.672
MIXED.ENDO-HAPI 1,0.731
MIXED.ENDO-HAPI 1,0.688
MIXED.ENDO-HAPI 1,0.76
MIXED.ENDO-HAPI 1,0.802
MIXED.ENDO-HAPI 1,0.596
MIXED.ENDO-HAPI 1,0.804
MIXED.ENDO-HAPI 1,0.811
MIXED.ENDO-HAPI 1,0.711
MIXED.ENDO-HAPI 1,0.577
MIXED.ENDO-HAPI 1,0.793
MIXED.ENDO-HAPI 1,0.66
MIXED.ENDO-HAPI 1,0.781
MIXED.ENDO-HAPI 1,0.527
MIXED.ENDO-HAPI 1,0.6
MIXED.ENDO-HAPI 1,0.6
MIXED.ENDO-HAPI 1,0.666
MIXED.ENDO-HAPI 1,0.678
MIXED.ENDO-HAPI 1,0.728
MIXED.ENDO-HAPI 1,0.784
MIXED.ENDO-HAPI 1,0.78
MIXED.ENDO-HAPI 1,0.578
MIXED.ENDO-HAPI 1,0.685
MIXED.ENDO-HAPI 1,0.61
MIXED.ENDO-HAPI 1,0.668
MIXED.ENDO-HAPI 1,0.65
MIXED.ENDO-HAPI 1,0.65
MIXED.ENDO-HAPI 1,0.74
MIXED.ENDO-HAPI 1,0.776
MIXED.ENDO-HAPI 1,0.618
MIXED.ENDO-HAPI 1,0.713
MIXED.ENDO-HAPI 1,0.69
MIXED.ENDO-HAPI 1,0.679
MIXED.ENDO-HAPI 1,0.705
MIXED.ENDO-HAPI 1,0.704
MIXED.ENDO-HAPI 1,0.644
MIXED.ENDO-HAPI 1,0.684
MIXED.ENDO-HAPI 20,0.689
MIXED.ENDO-HAPI 20,0.93
MIXED.ENDO-HAPI 20,1.013
MIXED.ENDO-HAPI 20,0.972
MIXED.ENDO-HAPI 20,1.199
MIXED.ENDO-HAPI 20,1.141
MIXED.ENDO-HAPI 20,0.978
MIXED.ENDO-HAPI 20,0.986
MIXED.ENDO-HAPI 20,0.733
MIXED.ENDO-HAPI 20,1.014
MIXED.ENDO-HAPI 20,1.065
MIXED.ENDO-HAPI 20,1.264
MIXED.ENDO-HAPI 20,1.165
MIXED.ENDO-HAPI 20,1.175
MIXED.ENDO-HAPI 20,1.16
MIXED.ENDO-HAPI 20,1.401
MIXED.ENDO-HAPI 20,1.076
MIXED.ENDO-HAPI 20,1.237
MIXED.ENDO-HAPI 20,1.005
MIXED.ENDO-HAPI 20,0.985
MIXED.ENDO-HAPI 20,0.986
MIXED.ENDO-HAPI 20,0.89
MIXED.ENDO-HAPI 20,1.126
MIXED.ENDO-HAPI 20,0.907
MIXED.ENDO-HAPI 20,0.545
MIXED.ENDO-HAPI 20,0.655
MIXED.ENDO-HAPI 20,0.645
MIXED.ENDO-HAPI 20,0.631
MIXED.ENDO-HAPI 20,0.681
MIXED.ENDO-HAPI 20,0.712
MIXED.ENDO-HAPI 20,0.756
MIXED.ENDO-HAPI 20,0.728
MIXED.ENDO-HAPI 20,0.701
MIXED.ENDO-HAPI 20,0.719
MIXED.ENDO-HAPI 20,0.651
MIXED.ENDO-HAPI 20,0.668
MIXED.ENDO-HAPI 20,0.752
MIXED.ENDO-HAPI 20,0.649
MIXED.ENDO-HAPI 20,0.744
MIXED.ENDO-HAPI 20,0.772
MIXED.ENDO-HAPI 20,0.813
MIXED.ENDO-HAPI 20,0.709
MIXED.ENDO-HAPI 20,0.758
MIXED.ENDO-HAPI 20,0.719
MIXED.ENDO-HAPI 20,0.719
MIXED.ENDO-HAPI 20,0.697
MIXED.ENDO-HAPI 20,0.737
MIXED.ENDO-HAPI 20,0.765