Group,MTT
ENDO 0,0.049
ENDO 0,0.073
ENDO 0,0.11
ENDO 0,0.129
ENDO 0,0.168
ENDO 0,0.144
ENDO 0,0.157
ENDO 0,0.15
ENDO 0,0.121
ENDO 0,0.133
ENDO 0,0.131
ENDO 0,0.055
ENDO 0,0.097
ENDO 0,0.088
ENDO 0,0.123
ENDO 0,0.124
ENDO 0,0.117
ENDO 0,0.132
ENDO 0,0.208
ENDO 0,0.189
ENDO 0,0.205
ENDO 0,0.161
ENDO 0,0.203
ENDO 0,0.162
ENDO 0,0.097
ENDO 0,0.104
ENDO 0,0.121
ENDO 0,0.111
ENDO 0,0.111
ENDO 0,0.097
ENDO 0,0.128
ENDO 0,0.092
ENDO 0,0.133
ENDO 0,0.133
ENDO 0,0.125
ENDO 0,0.111
ENDO 0.002,0.05
ENDO 0.002,0.052
ENDO 0.002,0.18
ENDO 0.002,0.158
ENDO 0.002,0.164
ENDO 0.002,0.139
ENDO 0.002,0.121
ENDO 0.002,0.145
ENDO 0.002,0.11
ENDO 0.002,0.121
ENDO 0.002,0.14
ENDO 0.002,0.118
ENDO 0.002,0.113
ENDO 0.002,0.159
ENDO 0.002,0.112
ENDO 0.002,0.124
ENDO 0.002,0.139
ENDO 0.002,0.125
ENDO 0.002,0.151
ENDO 0.002,0.197
ENDO 0.002,0.144
ENDO 0.002,0.152
ENDO 0.002,0.166
ENDO 0.002,0.145
ENDO 0.002,0.115
ENDO 0.002,0.129
ENDO 0.002,0.142
ENDO 0.002,0.113
ENDO 0.002,0.152
ENDO 0.002,0.127
ENDO 0.002,0.108
ENDO 0.002,0.138
ENDO 0.002,0.128
ENDO 0.002,0.136
ENDO 0.002,0.145
ENDO 0.002,0.155
ENDO 1,0.124
ENDO 1,0.059
ENDO 1,0.16
ENDO 1,0.142
ENDO 1,0.141
ENDO 1,0.135
ENDO 1,0.078
ENDO 1,0.068
ENDO 1,0.071
ENDO 1,0.068
ENDO 1,0.068
ENDO 1,0.067
ENDO 1,0.093
ENDO 1,0.143
ENDO 1,0.11
ENDO 1,0.104
ENDO 1,0.08
ENDO 1,0.082
ENDO 1,0.106
ENDO 1,0.104
ENDO 1,0.14
ENDO 1,0.146
ENDO 1,0.096
ENDO 1,0.082
ENDO 1,0.062
ENDO 1,0.079
ENDO 1,0.064
ENDO 1,0.063
ENDO 1,0.07
ENDO 1,0.055
ENDO 1,0.063
ENDO 1,0.057
ENDO 1,0.065
ENDO 1,0.061
ENDO 1,0.063
ENDO 1,0.064
ENDO 20,0.052
ENDO 20,0.066
ENDO 20,0.074
ENDO 20,0.065
ENDO 20,0.053
ENDO 20,0.061
ENDO 20,0.064
ENDO 20,0.067
ENDO 20,0.06
ENDO 20,0.064
ENDO 20,0.064
ENDO 20,0.066
ENDO 20,0.059
ENDO 20,0.065
ENDO 20,0.056
ENDO 20,0.067
ENDO 20,0.073
ENDO 20,0.061
ENDO 20,0.119
ENDO 20,0.157
ENDO 20,0.132
ENDO 20,0.146
ENDO 20,0.156
ENDO 20,0.12
ENDO 20,0.092
ENDO 20,0.117
ENDO 20,0.111
ENDO 20,0.092
ENDO 20,0.087
ENDO 20,0.11
ENDO 20,0.144
ENDO 20,0.11
ENDO 20,0.111
ENDO 20,0.18
ENDO 20,0.158
ENDO 20,0.147
MICRO 0,0.046
MICRO 0,0.048
MICRO 0,0.056
MICRO 0,0.05
MICRO 0,0.052
MICRO 0,0.062
MICRO 0,0.047
MICRO 0,0.053
MICRO 0,0.044
MICRO 0,0.049
MICRO 0,0.048
MICRO 0,0.047
MICRO 0,0.048
MICRO 0,0.045
MICRO 0,0.045
MICRO 0,0.047
MICRO 0,0.045
MICRO 0,0.055
MICRO 0,0.053
MICRO 0,0.05
MICRO 0,0.05
MICRO 0,0.046
MICRO 0,0.045
MICRO 0,0.045
MICRO 0,0.047
MICRO 0,0.047
MICRO 0,0.069
MICRO 0,0.058
MICRO 0,0.056
MICRO 0,0.062
MICRO 0,0.047
MICRO 0,0.049
MICRO 0,0.059
MICRO 0,0.055
MICRO 0,0.057
MICRO 0,0.052
MICRO 0,0.05
MICRO 0,0.049
MICRO 0,0.05
MICRO 0,0.051
MICRO 0,0.055
MICRO 0,0.065
MICRO 0,0.068
MICRO 0,0.054
MICRO 0,0.05
MICRO 0,0.049
MICRO 0,0.049
MICRO 0,0.048
MICRO 0.002,0.051
MICRO 0.002,0.052
MICRO 0.002,0.054
MICRO 0.002,0.053
MICRO 0.002,0.051
MICRO 0.002,0.058
MICRO 0.002,0.051
MICRO 0.002,0.048
MICRO 0.002,0.046
MICRO 0.002,0.053
MICRO 0.002,0.05
MICRO 0.002,0.051
MICRO 0.002,0.052
MICRO 0.002,0.048
MICRO 0.002,0.047
MICRO 0.002,0.047
MICRO 0.002,0.06
MICRO 0.002,0.066
MICRO 0.002,0.06
MICRO 0.002,0.05
MICRO 0.002,0.05
MICRO 0.002,0.047
MICRO 0.002,0.047
MICRO 0.002,0.046
MICRO 0.002,0.048
MICRO 0.002,0.051
MICRO 0.002,0.05
MICRO 0.002,0.051
MICRO 0.002,0.056
MICRO 0.002,0.06
MICRO 0.002,0.05
MICRO 0.002,0.052
MICRO 0.002,0.047
MICRO 0.002,0.051
MICRO 0.002,0.05
MICRO 0.002,0.05
MICRO 0.002,0.048
MICRO 0.002,0.049
MICRO 0.002,0.049
MICRO 0.002,0.049
MICRO 0.002,0.054
MICRO 0.002,0.054
MICRO 0.002,0.053
MICRO 0.002,0.054
MICRO 0.002,0.058
MICRO 0.002,0.05
MICRO 0.002,0.049
MICRO 0.002,0.048
MICRO 1,0.046
MICRO 1,0.05
MICRO 1,0.047
MICRO 1,0.049
MICRO 1,0.048
MICRO 1,0.051
MICRO 1,0.049
MICRO 1,0.046
MICRO 1,0.045
MICRO 1,0.059
MICRO 1,0.051
MICRO 1,0.05
MICRO 1,0.049
MICRO 1,0.047
MICRO 1,0.046
MICRO 1,0.046
MICRO 1,0.045
MICRO 1,0.047
MICRO 1,0.057
MICRO 1,0.051
MICRO 1,0.051
MICRO 1,0.046
MICRO 1,0.047
MICRO 1,0.045
MICRO 1,0.049
MICRO 1,0.05
MICRO 1,0.055
MICRO 1,0.047
MICRO 1,0.049
MICRO 1,0.056
MICRO 1,0.049
MICRO 1,0.051
MICRO 1,0.049
MICRO 1,0.055
MICRO 1,0.049
MICRO 1,0.049
MICRO 1,0.05
MICRO 1,0.049
MICRO 1,0.05
MICRO 1,0.048
MICRO 1,0.051
MICRO 1,0.091
MICRO 1,0.056
MICRO 1,0.048
MICRO 1,0.052
MICRO 1,0.054
MICRO 1,0.056
MICRO 1,0.049
MICRO 20,0.046
MICRO 20,0.046
MICRO 20,0.051
MICRO 20,0.047
MICRO 20,0.058
MICRO 20,0.056
MICRO 20,0.047
MICRO 20,0.048
MICRO 20,0.046
MICRO 20,0.048
MICRO 20,0.049
MICRO 20,0.047
MICRO 20,0.047
MICRO 20,0.046
MICRO 20,0.047
MICRO 20,0.047
MICRO 20,0.046
MICRO 20,0.053
MICRO 20,0.061
MICRO 20,0.052
MICRO 20,0.051
MICRO 20,0.05
MICRO 20,0.051
MICRO 20,0.047
MICRO 20,0.046
MICRO 20,0.05
MICRO 20,0.051
MICRO 20,0.046
MICRO 20,0.049
MICRO 20,0.05
MICRO 20,0.05
MICRO 20,0.05
MICRO 20,0.046
MICRO 20,0.054
MICRO 20,0.055
MICRO 20,0.051
MICRO 20,0.051
MICRO 20,0.048
MICRO 20,0.048
MICRO 20,0.05
MICRO 20,0.053
MICRO 20,0.058
MICRO 20,0.06
MICRO 20,0.055
MICRO 20,0.051
MICRO 20,0.047
MICRO 20,0.047
MICRO 20,0.045
HAPI 0,0.055
HAPI 0,0.063
HAPI 0,0.078
HAPI 0,0.059
HAPI 0,0.055
HAPI 0,0.062
HAPI 0,0.06
HAPI 0,0.062
HAPI 0,0.255
HAPI 0,0.351
HAPI 0,0.319
HAPI 0,0.334
HAPI 0,0.292
HAPI 0,0.278
HAPI 0,0.295
HAPI 0,0.231
HAPI 0,0.352
HAPI 0,0.37
HAPI 0,0.389
HAPI 0,0.395
HAPI 0,0.349
HAPI 0,0.313
HAPI 0,0.354
HAPI 0,0.289
HAPI 0,0.071
HAPI 0,0.062
HAPI 0,0.069
HAPI 0,0.062
HAPI 0,0.064
HAPI 0,0.076
HAPI 0,0.081
HAPI 0,0.069
HAPI 0,0.346
HAPI 0,0.376
HAPI 0,0.349
HAPI 0,0.377
HAPI 0,0.361
HAPI 0,0.345
HAPI 0,0.301
HAPI 0,0.207
HAPI 0,0.33
HAPI 0,0.348
HAPI 0,0.296
HAPI 0,0.424
HAPI 0,0.38
HAPI 0,0.419
HAPI 0,0.367
HAPI 0,0.334
HAPI 0.002,0.086
HAPI 0.002,0.086
HAPI 0.002,0.074
HAPI 0.002,0.076
HAPI 0.002,0.066
HAPI 0.002,0.059
HAPI 0.002,0.058
HAPI 0.002,0.053
HAPI 0.002,0.273
HAPI 0.002,0.393
HAPI 0.002,0.363
HAPI 0.002,0.422
HAPI 0.002,0.335
HAPI 0.002,0.281
HAPI 0.002,0.275
HAPI 0.002,0.25
HAPI 0.002,0.216
HAPI 0.002,0.196
HAPI 0.002,0.129
HAPI 0.002,0.146
HAPI 0.002,0.08
HAPI 0.002,0.059
HAPI 0.002,0.053
HAPI 0.002,0.093
HAPI 0.002,0.068
HAPI 0.002,0.103
HAPI 0.002,0.108
HAPI 0.002,0.099
HAPI 0.002,0.116
HAPI 0.002,0.141
HAPI 0.002,0.16
HAPI 0.002,0.129
HAPI 0.002,0.386
HAPI 0.002,0.349
HAPI 0.002,0.322
HAPI 0.002,0.309
HAPI 0.002,0.385
HAPI 0.002,0.296
HAPI 0.002,0.282
HAPI 0.002,0.294
HAPI 0.002,0.35
HAPI 0.002,0.349
HAPI 0.002,0.357
HAPI 0.002,0.291
HAPI 0.002,0.207
HAPI 0.002,0.167
HAPI 0.002,0.085
HAPI 0.002,0.304
HAPI 1,0.072
HAPI 1,0.057
HAPI 1,0.057
HAPI 1,0.058
HAPI 1,0.059
HAPI 1,0.055
HAPI 1,0.054
HAPI 1,0.064
HAPI 1,0.274
HAPI 1,0.279
HAPI 1,0.271
HAPI 1,0.27
HAPI 1,0.321
HAPI 1,0.257
HAPI 1,0.285
HAPI 1,0.37
HAPI 1,0.312
HAPI 1,0.42
HAPI 1,0.351
HAPI 1,0.374
HAPI 1,0.374
HAPI 1,0.353
HAPI 1,0.381
HAPI 1,0.344
HAPI 1,0.049
HAPI 1,0.05
HAPI 1,0.053
HAPI 1,0.057
HAPI 1,0.05
HAPI 1,0.05
HAPI 1,0.051
HAPI 1,0.059
HAPI 1,0.101
HAPI 1,0.108
HAPI 1,0.113
HAPI 1,0.113
HAPI 1,0.129
HAPI 1,0.088
HAPI 1,0.105
HAPI 1,0.119
HAPI 1,0.166
HAPI 1,0.078
HAPI 1,0.071
HAPI 1,0.081
HAPI 1,0.164
HAPI 1,0.068
HAPI 1,0.077
HAPI 1,0.125
HAPI 20,0.052
HAPI 20,0.062
HAPI 20,0.06
HAPI 20,0.06
HAPI 20,0.059
HAPI 20,0.059
HAPI 20,0.059
HAPI 20,0.06
HAPI 20,0.313
HAPI 20,0.423
HAPI 20,0.353
HAPI 20,0.411
HAPI 20,0.307
HAPI 20,0.33
HAPI 20,0.396
HAPI 20,0.347
HAPI 20,0.312
HAPI 20,0.173
HAPI 20,0.21
HAPI 20,0.129
HAPI 20,0.086
HAPI 20,0.077
HAPI 20,0.051
HAPI 20,0.079
HAPI 20,0.06
HAPI 20,0.061
HAPI 20,0.06
HAPI 20,0.061
HAPI 20,0.057
HAPI 20,0.059
HAPI 20,0.062
HAPI 20,0.062
HAPI 20,0.327
HAPI 20,0.328
HAPI 20,0.338
HAPI 20,0.339
HAPI 20,0.323
HAPI 20,0.29
HAPI 20,0.295
HAPI 20,0.222
HAPI 20,0.36
HAPI 20,0.344
HAPI 20,0.329
HAPI 20,0.344
HAPI 20,0.338
HAPI 20,0.322
HAPI 20,0.317
HAPI 20,0.3
MIXED.ENDO-MICRO 0,0.305
MIXED.ENDO-MICRO 0,0.373
MIXED.ENDO-MICRO 0,0.394
MIXED.ENDO-MICRO 0,0.34
MIXED.ENDO-MICRO 0,0.387
MIXED.ENDO-MICRO 0,0.391
MIXED.ENDO-MICRO 0,0.458
MIXED.ENDO-MICRO 0,0.385
MIXED.ENDO-MICRO 0,0.403
MIXED.ENDO-MICRO 0,0.524
MIXED.ENDO-MICRO 0,0.421
MIXED.ENDO-MICRO 0,0.419
MIXED.ENDO-MICRO 0,0.415
MIXED.ENDO-MICRO 0,0.466
MIXED.ENDO-MICRO 0,0.512
MIXED.ENDO-MICRO 0,0.419
MIXED.ENDO-MICRO 0,0.439
MIXED.ENDO-MICRO 0,0.423
MIXED.ENDO-MICRO 0,0.439
MIXED.ENDO-MICRO 0,0.398
MIXED.ENDO-MICRO 0,0.425
MIXED.ENDO-MICRO 0,0.445
MIXED.ENDO-MICRO 0,0.429
MIXED.ENDO-MICRO 0,0.417
MIXED.ENDO-MICRO 0,0.368
MIXED.ENDO-MICRO 0,0.522
MIXED.ENDO-MICRO 0,0.601
MIXED.ENDO-MICRO 0,0.554
MIXED.ENDO-MICRO 0,0.55
MIXED.ENDO-MICRO 0,0.565
MIXED.ENDO-MICRO 0,0.526
MIXED.ENDO-MICRO 0,0.493
MIXED.ENDO-MICRO 0,0.394
MIXED.ENDO-MICRO 0,0.457
MIXED.ENDO-MICRO 0,0.521
MIXED.ENDO-MICRO 0,0.48
MIXED.ENDO-MICRO 0,0.433
MIXED.ENDO-MICRO 0,0.56
MIXED.ENDO-MICRO 0,0.512
