Group,MTT
MIXED.ENDO-MICRO 0,0.531
MIXED.ENDO-MICRO 0,0.385
MIXED.ENDO-MICRO 0,0.293
MIXED.ENDO-MICRO 0,0.467
MIXED.ENDO-MICRO 0,0.476
MIXED.ENDO-MICRO 0,0.494
MIXED.ENDO-MICRO 0,0.583
MIXED.ENDO-MICRO 0,0.272
MIXED.ENDO-MICRO 0,0.058
MIXED.ENDO-MICRO 0.002,0.363
MIXED.ENDO-MICRO 0.002,0.524
MIXED.ENDO-MICRO 0.002,0.489
MIXED.ENDO-MICRO 0.002,0.501
MIXED.ENDO-MICRO 0.002,0.451
MIXED.ENDO-MICRO 0.002,0.447
MIXED.ENDO-MICRO 0.002,0.42
MIXED.ENDO-MICRO 0.002,0.271
MIXED.ENDO-MICRO 0.002,0.336
MIXED.ENDO-MICRO 0.002,0.351
MIXED.ENDO-MICRO 0.002,0.334
MIXED.ENDO-MICRO 0.002,0.356
MIXED.ENDO-MICRO 0.002,0.36
MIXED.ENDO-MICRO 0.002,0.436
MIXED.ENDO-MICRO 0.002,0.421
MIXED.ENDO-MICRO 0.002,0.267
MIXED.ENDO-MICRO 0.002,0.332
MIXED.ENDO-MICRO 0.002,0.395
MIXED.ENDO-MICRO 0.002,0.41
MIXED.ENDO-MICRO 0.002,0.411
MIXED.ENDO-MICRO 0.002,0.38
MIXED.ENDO-MICRO 0.002,0.473
MIXED.ENDO-MICRO 0.002,0.438
MIXED.ENDO-MICRO 0.002,0.322
MIXED.ENDO-MICRO 0.002,0.326
MIXED.ENDO-MICRO 0.002,0.426
MIXED.ENDO-MICRO 0.002,0.531
MIXED.ENDO-MICRO 0.002,0.363
MIXED.ENDO-MICRO 0.002,0.378
MIXED.ENDO-MICRO 0.002,0.47
MIXED.ENDO-MICRO 0.002,0.382
MIXED.ENDO-MICRO 0.002,0.307
MIXED.ENDO-MICRO 0.002,0.177
MIXED.ENDO-MICRO 0.002,0.341
MIXED.ENDO-MICRO 0.002,0.38
MIXED.ENDO-MICRO 0.002,0.39
MIXED.ENDO-MICRO 0.002,0.34
MIXED.ENDO-MICRO 0.002,0.442
MIXED.ENDO-MICRO 0.002,0.411
MIXED.ENDO-MICRO 0.002,0.214
MIXED.ENDO-MICRO 0.002,0.216
MIXED.ENDO-MICRO 0.002,0.359
MIXED.ENDO-MICRO 0.002,0.408
MIXED.ENDO-MICRO 0.002,0.37
MIXED.ENDO-MICRO 0.002,0.427
MIXED.ENDO-MICRO 0.002,0.435
MIXED.ENDO-MICRO 0.002,0.477
MIXED.ENDO-MICRO 0.002,0.307
MIXED.ENDO-MICRO 1,0.445
MIXED.ENDO-MICRO 1,0.475
MIXED.ENDO-MICRO 1,0.466
MIXED.ENDO-MICRO 1,0.478
MIXED.ENDO-MICRO 1,0.492
MIXED.ENDO-MICRO 1,0.421
MIXED.ENDO-MICRO 1,0.425
MIXED.ENDO-MICRO 1,0.474
MIXED.ENDO-MICRO 1,0.383
MIXED.ENDO-MICRO 1,0.435
MIXED.ENDO-MICRO 1,0.481
MIXED.ENDO-MICRO 1,0.464
MIXED.ENDO-MICRO 1,0.474
MIXED.ENDO-MICRO 1,0.498
MIXED.ENDO-MICRO 1,0.535
MIXED.ENDO-MICRO 1,0.532
MIXED.ENDO-MICRO 1,0.407
MIXED.ENDO-MICRO 1,0.472
MIXED.ENDO-MICRO 1,0.41
MIXED.ENDO-MICRO 1,0.394
MIXED.ENDO-MICRO 1,0.42
MIXED.ENDO-MICRO 1,0.45
MIXED.ENDO-MICRO 1,0.47
MIXED.ENDO-MICRO 1,0.488
MIXED.ENDO-MICRO 1,0.432
MIXED.ENDO-MICRO 1,0.544
MIXED.ENDO-MICRO 1,0.545
MIXED.ENDO-MICRO 1,0.571
MIXED.ENDO-MICRO 1,0.538
MIXED.ENDO-MICRO 1,0.551
MIXED.ENDO-MICRO 1,0.559
MIXED.ENDO-MICRO 1,0.564
MIXED.ENDO-MICRO 1,0.46
MIXED.ENDO-MICRO 1,0.473
MIXED.ENDO-MICRO 1,0.524
MIXED.ENDO-MICRO 1,0.521
MIXED.ENDO-MICRO 1,0.586
MIXED.ENDO-MICRO 1,0.54
MIXED.ENDO-MICRO 1,0.56
MIXED.ENDO-MICRO 1,0.529
MIXED.ENDO-MICRO 1,0.5
MIXED.ENDO-MICRO 1,0.566
MIXED.ENDO-MICRO 1,0.613
MIXED.ENDO-MICRO 1,0.567
MIXED.ENDO-MICRO 1,0.531
MIXED.ENDO-MICRO 1,0.536
MIXED.ENDO-MICRO 1,0.564
MIXED.ENDO-MICRO 1,0.589
MIXED.ENDO-MICRO 20,0.422
MIXED.ENDO-MICRO 20,0.433
MIXED.ENDO-MICRO 20,0.514
MIXED.ENDO-MICRO 20,0.425
MIXED.ENDO-MICRO 20,0.448
MIXED.ENDO-MICRO 20,0.495
MIXED.ENDO-MICRO 20,0.505
MIXED.ENDO-MICRO 20,0.53
MIXED.ENDO-MICRO 20,0.405
MIXED.ENDO-MICRO 20,0.477
MIXED.ENDO-MICRO 20,0.481
MIXED.ENDO-MICRO 20,0.449
MIXED.ENDO-MICRO 20,0.441
MIXED.ENDO-MICRO 20,0.481
MIXED.ENDO-MICRO 20,0.453
MIXED.ENDO-MICRO 20,0.449
MIXED.ENDO-MICRO 20,0.405
MIXED.ENDO-MICRO 20,0.459
MIXED.ENDO-MICRO 20,0.485
MIXED.ENDO-MICRO 20,0.446
MIXED.ENDO-MICRO 20,0.485
MIXED.ENDO-MICRO 20,0.499
MIXED.ENDO-MICRO 20,0.477
MIXED.ENDO-MICRO 20,0.411
MIXED.ENDO-MICRO 20,0.414
MIXED.ENDO-MICRO 20,0.49
MIXED.ENDO-MICRO 20,0.5
MIXED.ENDO-MICRO 20,0.504
MIXED.ENDO-MICRO 20,0.495
MIXED.ENDO-MICRO 20,0.509
MIXED.ENDO-MICRO 20,0.455
MIXED.ENDO-MICRO 20,0.51
MIXED.ENDO-MICRO 20,0.402
MIXED.ENDO-MICRO 20,0.445
MIXED.ENDO-MICRO 20,0.456
MIXED.ENDO-MICRO 20,0.42
MIXED.ENDO-MICRO 20,0.416
MIXED.ENDO-MICRO 20,0.478
MIXED.ENDO-MICRO 20,0.492
MIXED.ENDO-MICRO 20,0.455
MIXED.ENDO-MICRO 20,0.474
MIXED.ENDO-MICRO 20,0.484
MIXED.ENDO-MICRO 20,0.482
MIXED.ENDO-MICRO 20,0.443
MIXED.ENDO-MICRO 20,0.498
MIXED.ENDO-MICRO 20,0.513
MIXED.ENDO-MICRO 20,0.47
MIXED.ENDO-MICRO 20,0.569
MIXED.ENDO-HAPI 0,0.492
MIXED.ENDO-HAPI 0,0.525
MIXED.ENDO-HAPI 0,0.598
MIXED.ENDO-HAPI 0,0.522
MIXED.ENDO-HAPI 0,0.55
MIXED.ENDO-HAPI 0,0.52
MIXED.ENDO-HAPI 0,0.523
MIXED.ENDO-HAPI 0,0.577
MIXED.ENDO-HAPI 0,0.594
MIXED.ENDO-HAPI 0,0.633
MIXED.ENDO-HAPI 0,0.648
MIXED.ENDO-HAPI 0,0.653
MIXED.ENDO-HAPI 0,0.595
MIXED.ENDO-HAPI 0,0.591
MIXED.ENDO-HAPI 0,0.566
MIXED.ENDO-HAPI 0,0.558
MIXED.ENDO-HAPI 0,0.638
MIXED.ENDO-HAPI 0,0.787
MIXED.ENDO-HAPI 0,0.718
MIXED.ENDO-HAPI 0,0.727
MIXED.ENDO-HAPI 0,0.66
MIXED.ENDO-HAPI 0,0.691
MIXED.ENDO-HAPI 0,0.645
MIXED.ENDO-HAPI 0,0.595
MIXED.ENDO-HAPI 0,0.502
MIXED.ENDO-HAPI 0,0.497
MIXED.ENDO-HAPI 0,0.432
MIXED.ENDO-HAPI 0,0.471
MIXED.ENDO-HAPI 0,0.439
MIXED.ENDO-HAPI 0,0.387
MIXED.ENDO-HAPI 0,0.469
MIXED.ENDO-HAPI 0,0.518
MIXED.ENDO-HAPI 0,0.613
MIXED.ENDO-HAPI 0,0.614
MIXED.ENDO-HAPI 0,0.66
MIXED.ENDO-HAPI 0,0.656
MIXED.ENDO-HAPI 0,0.652
MIXED.ENDO-HAPI 0,0.5
MIXED.ENDO-HAPI 0,0.614
MIXED.ENDO-HAPI 0,0.601
MIXED.ENDO-HAPI 0,0.618
MIXED.ENDO-HAPI 0,0.714
MIXED.ENDO-HAPI 0,0.754
MIXED.ENDO-HAPI 0,0.618
MIXED.ENDO-HAPI 0,0.631
MIXED.ENDO-HAPI 0,0.601
MIXED.ENDO-HAPI 0,0.612
MIXED.ENDO-HAPI 0,0.624
MIXED.ENDO-HAPI 0.002,0.513
MIXED.ENDO-HAPI 0.002,0.53
MIXED.ENDO-HAPI 0.002,0.51
MIXED.ENDO-HAPI 0.002,0.533
MIXED.ENDO-HAPI 0.002,0.565
MIXED.ENDO-HAPI 0.002,0.53
MIXED.ENDO-HAPI 0.002,0.545
MIXED.ENDO-HAPI 0.002,0.568
MIXED.ENDO-HAPI 0.002,0.599
MIXED.ENDO-HAPI 0.002,0.634
MIXED.ENDO-HAPI 0.002,0.646
MIXED.ENDO-HAPI 0.002,0.612
MIXED.ENDO-HAPI 0.002,0.661
MIXED.ENDO-HAPI 0.002,0.619
MIXED.ENDO-HAPI 0.002,0.518
MIXED.ENDO-HAPI 0.002,0.602
MIXED.ENDO-HAPI 0.002,0.46
MIXED.ENDO-HAPI 0.002,0.576
MIXED.ENDO-HAPI 0.002,0.561
MIXED.ENDO-HAPI 0.002,0.556
MIXED.ENDO-HAPI 0.002,0.621
MIXED.ENDO-HAPI 0.002,0.522
MIXED.ENDO-HAPI 0.002,0.497
MIXED.ENDO-HAPI 0.002,0.507
MIXED.ENDO-HAPI 0.002,0.485
MIXED.ENDO-HAPI 0.002,0.503
MIXED.ENDO-HAPI 0.002,0.418
MIXED.ENDO-HAPI 0.002,0.533
MIXED.ENDO-HAPI 0.002,0.428
MIXED.ENDO-HAPI 0.002,0.456
MIXED.ENDO-HAPI 0.002,0.439
MIXED.ENDO-HAPI 0.002,0.505
MIXED.ENDO-HAPI 0.002,0.516
MIXED.ENDO-HAPI 0.002,0.525
MIXED.ENDO-HAPI 0.002,0.485
MIXED.ENDO-HAPI 0.002,0.479
MIXED.ENDO-HAPI 0.002,0.479
MIXED.ENDO-HAPI 0.002,0.57
MIXED.ENDO-HAPI 0.002,0.473
MIXED.ENDO-HAPI 0.002,0.565
MIXED.ENDO-HAPI 0.002,0.462
MIXED.ENDO-HAPI 0.002,0.41
MIXED.ENDO-HAPI 0.002,0.578
MIXED.ENDO-HAPI 0.002,0.515
MIXED.ENDO-HAPI 0.002,0.527
MIXED.ENDO-HAPI 0.002,0.533
MIXED.ENDO-HAPI 0.002,0.429
MIXED.ENDO-HAPI 0.002,0.582
MIXED.ENDO-HAPI 1,0.481
MIXED.ENDO-HAPI 1,0.435
MIXED.ENDO-HAPI 1,0.423
MIXED.ENDO-HAPI 1,0.464
MIXED.ENDO-HAPI 1,0.491
MIXED.ENDO-HAPI 1,0.475
MIXED.ENDO-HAPI 1,0.435
MIXED.ENDO-HAPI 1,0.437
MIXED.ENDO-HAPI 1,0.523
MIXED.ENDO-HAPI 1,0.455
MIXED.ENDO-HAPI 1,0.45
MIXED.ENDO-HAPI 1,0.45
MIXED.ENDO-HAPI 1,0.471
MIXED.ENDO-HAPI 1,0.41
MIXED.ENDO-HAPI 1,0.401
MIXED.ENDO-HAPI 1,0.445
MIXED.ENDO-HAPI 1,0.576
MIXED.ENDO-HAPI 1,0.581
MIXED.ENDO-HAPI 1,0.576
MIXED.ENDO-HAPI 1,0.583
MIXED.ENDO-HAPI 1,0.573
MIXED.ENDO-HAPI 1,0.578
MIXED.ENDO-HAPI 1,0.548
MIXED.ENDO-HAPI 1,0.599
MIXED.ENDO-HAPI 1,0.462
MIXED.ENDO-HAPI 1,0.375
MIXED.ENDO-HAPI 1,0.366
MIXED.ENDO-HAPI 1,0.412
MIXED.ENDO-HAPI 1,0.45
MIXED.ENDO-HAPI 1,0.473
MIXED.ENDO-HAPI 1,0.512
MIXED.ENDO-HAPI 1,0.471
MIXED.ENDO-HAPI 1,0.533
MIXED.ENDO-HAPI 1,0.49
MIXED.ENDO-HAPI 1,0.471
MIXED.ENDO-HAPI 1,0.455
MIXED.ENDO-HAPI 1,0.467
MIXED.ENDO-HAPI 1,0.448
MIXED.ENDO-HAPI 1,0.471
MIXED.ENDO-HAPI 1,0.504
MIXED.ENDO-HAPI 1,0.65
MIXED.ENDO-HAPI 1,0.519
MIXED.ENDO-HAPI 1,0.522
MIXED.ENDO-HAPI 1,0.511
MIXED.ENDO-HAPI 1,0.478
MIXED.ENDO-HAPI 1,0.474
MIXED.ENDO-HAPI 1,0.456
MIXED.ENDO-HAPI 1,0.53
MIXED.ENDO-HAPI 20,0.396
MIXED.ENDO-HAPI 20,0.386
MIXED.ENDO-HAPI 20,0.352
MIXED.ENDO-HAPI 20,0.39
MIXED.ENDO-HAPI 20,0.415
MIXED.ENDO-HAPI 20,0.406
MIXED.ENDO-HAPI 20,0.396
MIXED.ENDO-HAPI 20,0.474
MIXED.ENDO-HAPI 20,0.416
MIXED.ENDO-HAPI 20,0.423
MIXED.ENDO-HAPI 20,0.431
MIXED.ENDO-HAPI 20,0.434
MIXED.ENDO-HAPI 20,0.442
MIXED.ENDO-HAPI 20,0.433
MIXED.ENDO-HAPI 20,0.414
MIXED.ENDO-HAPI 20,0.455
MIXED.ENDO-HAPI 20,0.45
MIXED.ENDO-HAPI 20,0.54
MIXED.ENDO-HAPI 20,0.511
MIXED.ENDO-HAPI 20,0.466
MIXED.ENDO-HAPI 20,0.498
MIXED.ENDO-HAPI 20,0.44
MIXED.ENDO-HAPI 20,0.42
MIXED.ENDO-HAPI 20,0.49
MIXED.ENDO-HAPI 20,0.364
MIXED.ENDO-HAPI 20,0.45
MIXED.ENDO-HAPI 20,0.416
MIXED.ENDO-HAPI 20,0.44
MIXED.ENDO-HAPI 20,0.45
MIXED.ENDO-HAPI 20,0.423
MIXED.ENDO-HAPI 20,0.427
MIXED.ENDO-HAPI 20,0.507
MIXED.ENDO-HAPI 20,0.542
MIXED.ENDO-HAPI 20,0.491
MIXED.ENDO-HAPI 20,0.507
MIXED.ENDO-HAPI 20,0.534
MIXED.ENDO-HAPI 20,0.51
MIXED.ENDO-HAPI 20,0.461
MIXED.ENDO-HAPI 20,0.46
MIXED.ENDO-HAPI 20,0.451
MIXED.ENDO-HAPI 20,0.612
MIXED.ENDO-HAPI 20,0.657
MIXED.ENDO-HAPI 20,0.525
MIXED.ENDO-HAPI 20,0.564
MIXED.ENDO-HAPI 20,0.551
MIXED.ENDO-HAPI 20,0.524
MIXED.ENDO-HAPI 20,0.482
MIXED.ENDO-HAPI 20,0.454